user_id,home_region,diet,health_profile,spice_pref,age_band,n_interactions
46,Tamil Nadu,Vegetarian,diabetic,hot,26-35,8
47,Kerala,Non-Vegetarian,general,hot,18-25,10
48,Pan-Indian,Non-Vegetarian,general,hot,18-25,34
49,Maharashtra,Vegetarian,diabetic,medium,26-35,7
50,Mughlai (North India),Non-Vegetarian,general,hot,26-35,12
51,Pan-Indian,Non-Vegetarian,heart_lowsodium,medium,26-35,14
52,Pan-Indian,Non-Vegetarian,weight_loss,medium,18-25,20
53,Rajasthan,Vegetarian,general,medium,18-25,26
54,Kerala,Non-Vegetarian,diabetic,medium,26-35,14
55,Pan-Indian,Vegetarian,heart_lowsodium,medium,51+,6
56,Pan-Indian,Vegetarian,general,medium,36-50,32
57,Maharashtra,Non-Vegetarian,general,medium,51+,129
58,Pan-Indian,Vegetarian,diabetic,medium,18-25,28
59,Maharashtra,Non-Vegetarian,general,hot,18-25,23
60,Pan-Indian,Vegetarian,general,hot,18-25,11
61,Andhra Pradesh,Non-Vegetarian,diabetic,hot,36-50,12
62,Andhra Pradesh,Vegetarian,diabetic,medium,18-25,5
63,Pan-Indian,Non-Vegetarian,general,hot,26-35,24
64,Kerala,Vegetarian,diabetic,medium,18-25,13
65,Gujarat,Vegan,general,hot,36-50,39
66,Pan-Indian,Eggetarian,general,hot,18-25,7
67,South India,Vegetarian,diabetic,medium,18-25,41
68,Maharashtra,Vegan,general,medium,26-35,12
69,Karnataka,Non-Vegetarian,general,hot,36-50,9
70,Pan-Indian,Non-Vegetarian,general,hot,18-25,10
71,Mughlai (North India),Vegetarian,general,medium,18-25,9
72,Maharashtra,Vegetarian,general,medium,51+,5
73,Maharashtra,Vegetarian,general,medium,36-50,24
74,Pan-Indian,Non-Vegetarian,heart_lowsodium,hot,36-50,27
75,South India,Vegetarian,diabetic,mild,26-35,39
76,Bihar,Vegetarian,general,hot,26-35,25
77,Rajasthan,Vegetarian,general,medium,18-25,24
78,Karnataka,Vegetarian,general,medium,26-35,5
79,Pan-Indian,Non-Vegetarian,general,medium,18-25,17
80,Kerala,Vegetarian,diabetic,medium,51+,6
81,Sindhi (community),Vegetarian,general,medium,51+,12
82,Kerala,Eggetarian,general,medium,36-50,42
83,Kerala,Vegetarian,general,hot,51+,15
84,Tamil Nadu,Vegetarian,general,mild,18-25,5
85,Pan-Indian,Non-Vegetarian,general,hot,26-35,7
86,Pan-Indian,Vegan,heart_lowsodium,medium,26-35,10
87,Kerala,Eggetarian,general,medium,18-25,13
88,Mughlai (North India),Vegetarian,heart_lowsodium,hot,26-35,30
89,Mughlai (North India),Vegetarian,weight_loss,hot,51+,28
90,Kerala,Non-Vegetarian,weight_loss,medium,18-25,27
91,Maharashtra,Vegetarian,general,medium,18-25,18
92,Pan-Indian,Non-Vegetarian,diabetic,mild,51+,12
93,Pan-Indian,Eggetarian,general,medium,26-35,11
94,Punjab,Vegetarian,general,mild,26-35,21
95,Tamil Nadu,Vegetarian,general,medium,26-35,30
96,Pan-Indian,Non-Vegetarian,general,mild,51+,48
97,Jammu & Kashmir,Non-Vegetarian,weight_loss,medium,26-35,16
98,Pan-Indian,Non-Vegetarian,general,medium,26-35,19
99,South India,Non-Vegetarian,weight_loss,medium,18-25,45
100,Pan-Indian,Vegetarian,weight_loss,hot,26-35,7
101,Sindhi (community),Vegetarian,heart_lowsodium,medium,18-25,28
102,North India,Vegetarian,weight_loss,mild,51+,8
103,Punjab,Non-Vegetarian,general,medium,36-50,49
104,Uttar Pradesh,Eggetarian,weight_loss,mild,26-35,43
105,West Bengal,Non-Vegetarian,general,hot,18-25,51
106,Parsi (community),Vegan,diabetic,hot,18-25,47
107,Pan-Indian,Vegan,general,medium,26-35,28
108,Maharashtra,Vegetarian,general,medium,18-25,7
109,Pan-Indian,Non-Vegetarian,general,medium,26-35,22
110,Pan-Indian,Vegetarian,general,medium,18-25,29
111,Goa,Non-Vegetarian,weight_loss,hot,26-35,21
112,Pan-Indian,Non-Vegetarian,general,hot,36-50,14
113,Pan-Indian,Non-Vegetarian,general,mild,36-50,17
114,Pan-Indian,Non-Vegetarian,general,hot,18-25,20
115,Kerala,Non-Vegetarian,general,medium,51+,7
116,Bihar,Vegetarian,general,mild,18-25,25
117,Pan-Indian,Vegetarian,general,mild,18-25,23
118,Pan-Indian,Vegetarian,general,medium,26-35,14
119,Karnataka,Vegetarian,diabetic,mild,26-35,25
120,Pan-Indian,Vegetarian,general,medium,26-35,36
121,Punjab,Vegetarian,heart_lowsodium,hot,36-50,7
122,North India,Vegetarian,weight_loss,mild,36-50,45
123,Kerala,Vegetarian,general,mild,18-25,32
124,Gujarat,Eggetarian,weight_loss,mild,18-25,32
125,Pan-Indian,Vegetarian,general,hot,36-50,31
126,Karnataka,Non-Vegetarian,general,mild,18-25,25
127,Karnataka,Vegetarian,general,hot,51+,15
128,Bihar,Non-Vegetarian,weight_loss,medium,26-35,9
129,Pan-Indian,Non-Vegetarian,general,medium,36-50,22
130,Bihar,Non-Vegetarian,weight_loss,hot,51+,16
131,Pan-Indian,Vegan,general,medium,18-25,9
132,Gujarat,Eggetarian,general,medium,51+,56
133,Karnataka,Vegetarian,diabetic,medium,18-25,28
134,Tamil Nadu,Non-Vegetarian,diabetic,medium,26-35,12
135,Bihar,Non-Vegetarian,general,mild,51+,5
136,Goa,Eggetarian,diabetic,mild,26-35,8
137,Rajasthan,Non-Vegetarian,diabetic,hot,18-25,22
138,North India,Vegetarian,diabetic,mild,26-35,12
139,Kerala,Vegetarian,general,mild,36-50,6
140,Pan-Indian,Non-Vegetarian,diabetic,hot,18-25,18
141,Pan-Indian,Non-Vegetarian,diabetic,medium,18-25,13
142,North India,Non-Vegetarian,general,medium,26-35,11
143,Tamil Nadu,Vegetarian,diabetic,medium,26-35,6
144,Andhra Pradesh,Non-Vegetarian,general,hot,18-25,19
145,South India,Vegetarian,weight_loss,medium,18-25,7
146,Uttar Pradesh,Non-Vegetarian,general,mild,36-50,13
147,Rajasthan,Non-Vegetarian,general,medium,26-35,36
148,Pan-Indian,Vegetarian,general,medium,51+,38
149,Maharashtra,Non-Vegetarian,general,hot,18-25,14
150,Pan-Indian,Vegetarian,general,hot,18-25,5
151,Jammu & Kashmir,Vegetarian,general,mild,26-35,26
152,Tamil Nadu,Vegetarian,general,hot,26-35,7
153,Tamil Nadu,Eggetarian,general,medium,36-50,5
154,Kerala,Vegetarian,general,medium,26-35,26
155,Pan-Indian,Vegetarian,heart_lowsodium,mild,36-50,5
156,Telangana,Vegan,diabetic,hot,36-50,25
157,Karnataka,Vegetarian,general,medium,18-25,29
158,Punjab,Vegetarian,diabetic,mild,36-50,22
159,Karnataka,Vegetarian,general,mild,26-35,17
160,West Bengal,Vegetarian,general,mild,51+,14
161,Tamil Nadu,Non-Vegetarian,heart_lowsodium,mild,18-25,10
162,Pan-Indian,Non-Vegetarian,weight_loss,medium,26-35,7
163,Kerala,Non-Vegetarian,diabetic,medium,26-35,88
164,Kerala,Vegetarian,general,mild,18-25,11
165,West Bengal,Non-Vegetarian,general,medium,26-35,7
166,Gujarat,Vegetarian,general,mild,26-35,14
167,Karnataka,Non-Vegetarian,weight_loss,hot,18-25,23
168,Gujarat,Vegetarian,general,medium,18-25,32
169,Uttar Pradesh,Non-Vegetarian,heart_lowsodium,medium,26-35,13
170,West Bengal,Vegan,weight_loss,medium,36-50,13
171,Bihar,Vegan,heart_lowsodium,medium,26-35,8
172,Tamil Nadu,Vegan,general,medium,36-50,12
173,Pan-Indian,Non-Vegetarian,general,medium,26-35,29
174,Punjab,Vegetarian,diabetic,medium,26-35,14
175,Pan-Indian,Vegetarian,general,mild,51+,11
176,Kerala,Non-Vegetarian,general,mild,36-50,17
177,Kerala,Non-Vegetarian,general,hot,18-25,8
178,Pan-Indian,Non-Vegetarian,diabetic,hot,26-35,5
179,Tamil Nadu,Vegetarian,diabetic,mild,36-50,10
180,Tamil Nadu,Non-Vegetarian,general,hot,36-50,5
181,Bihar,Vegetarian,weight_loss,hot,18-25,12
182,Karnataka,Vegetarian,general,hot,36-50,20
183,North India,Non-Vegetarian,general,medium,36-50,31
184,Tamil Nadu,Eggetarian,general,hot,26-35,22
185,Pan-Indian,Vegetarian,general,medium,18-25,15
186,South India,Non-Vegetarian,general,medium,51+,7
187,North India,Vegetarian,general,medium,26-35,7
188,Pan-Indian,Non-Vegetarian,general,medium,51+,13
189,Telangana,Non-Vegetarian,heart_lowsodium,mild,26-35,8
190,South India,Non-Vegetarian,heart_lowsodium,mild,26-35,7
191,Punjab,Non-Vegetarian,general,medium,26-35,15
192,Karnataka,Vegetarian,general,medium,18-25,8
193,Andhra Pradesh,Non-Vegetarian,weight_loss,hot,51+,5
194,Karnataka,Vegetarian,general,medium,26-35,13
195,Pan-Indian,Vegetarian,general,medium,26-35,7
196,Goa,Non-Vegetarian,general,hot,51+,22
197,Jammu & Kashmir,Non-Vegetarian,weight_loss,hot,18-25,39
198,Pan-Indian,Vegetarian,diabetic,hot,26-35,26
199,Pan-Indian,Vegan,weight_loss,mild,51+,21
200,Andhra Pradesh,Vegetarian,heart_lowsodium,mild,26-35,42
201,Pan-Indian,Non-Vegetarian,diabetic,hot,26-35,7
202,Pan-Indian,Non-Vegetarian,general,mild,26-35,10
203,Telangana,Non-Vegetarian,general,hot,36-50,17
204,Pan-Indian,Vegetarian,heart_lowsodium,medium,26-35,11
205,Pan-Indian,Eggetarian,general,medium,26-35,17
206,North India,Non-Vegetarian,heart_lowsodium,hot,36-50,11
207,West Bengal,Non-Vegetarian,diabetic,hot,51+,12
208,Pan-Indian,Non-Vegetarian,general,medium,18-25,11
209,North India,Vegetarian,general,medium,26-35,26
210,North India,Vegetarian,weight_loss,hot,18-25,13
211,Telangana,Vegetarian,diabetic,hot,26-35,6
212,Pan-Indian,Vegetarian,general,medium,26-35,14
213,South India,Non-Vegetarian,heart_lowsodium,hot,36-50,9
214,Pan-Indian,Non-Vegetarian,general,hot,18-25,44
215,Pan-Indian,Vegan,heart_lowsodium,mild,26-35,20
216,West Bengal,Non-Vegetarian,general,medium,36-50,39
217,South India,Non-Vegetarian,general,medium,26-35,16
218,Gujarat,Non-Vegetarian,diabetic,hot,51+,30
219,Kerala,Vegetarian,heart_lowsodium,mild,26-35,26
220,Pan-Indian,Vegan,heart_lowsodium,mild,51+,23
221,Tamil Nadu,Non-Vegetarian,diabetic,mild,18-25,5
222,North India,Eggetarian,general,hot,26-35,17
223,West Bengal,Eggetarian,general,medium,51+,41
224,Maharashtra,Vegetarian,general,medium,26-35,15
225,Gujarat,Non-Vegetarian,general,mild,51+,36
226,Pan-Indian,Non-Vegetarian,general,medium,36-50,10
227,Punjab,Eggetarian,general,medium,36-50,12
228,Pan-Indian,Vegetarian,general,medium,36-50,25
229,Telangana,Non-Vegetarian,general,medium,26-35,5
230,Andhra Pradesh,Vegetarian,general,medium,26-35,52
231,Karnataka,Eggetarian,general,medium,36-50,12
232,Pan-Indian,Non-Vegetarian,weight_loss,medium,26-35,40
233,Uttar Pradesh,Vegetarian,general,hot,18-25,10
234,Kerala,Non-Vegetarian,general,medium,26-35,26
235,Kerala,Vegan,general,hot,26-35,11
236,Pan-Indian,Vegetarian,general,mild,18-25,5
237,Tamil Nadu,Non-Vegetarian,general,mild,26-35,11
238,Punjab,Vegan,general,mild,36-50,14
239,Mughlai (North India),Vegan,general,mild,51+,21
240,Karnataka,Non-Vegetarian,diabetic,mild,36-50,8
241,Kerala,Non-Vegetarian,diabetic,medium,51+,22
242,South India,Vegetarian,heart_lowsodium,medium,26-35,12
243,Pan-Indian,Non-Vegetarian,general,hot,26-35,5
244,Punjab,Eggetarian,general,medium,51+,31
245,West Bengal,Non-Vegetarian,general,medium,18-25,33
246,Bihar,Non-Vegetarian,general,medium,51+,11
247,Karnataka,Eggetarian,general,medium,18-25,13
248,Tamil Nadu,Vegetarian,heart_lowsodium,hot,51+,10
249,Pan-Indian,Vegetarian,general,mild,51+,20
250,Tamil Nadu,Non-Vegetarian,heart_lowsodium,medium,26-35,10
251,Tamil Nadu,Vegan,diabetic,medium,36-50,28
252,Punjab,Vegan,general,medium,26-35,13
253,Jammu & Kashmir,Eggetarian,general,hot,18-25,6
254,South India,Eggetarian,heart_lowsodium,mild,26-35,25
255,Rajasthan,Eggetarian,diabetic,medium,26-35,21
256,West Bengal,Eggetarian,general,medium,51+,5
257,Kerala,Vegetarian,general,medium,26-35,17
258,Karnataka,Non-Vegetarian,heart_lowsodium,medium,18-25,23
259,North India,Vegetarian,general,mild,36-50,14
260,Tamil Nadu,Eggetarian,weight_loss,hot,26-35,10
261,Gujarat,Vegetarian,diabetic,hot,36-50,37
262,Maharashtra,Vegan,general,medium,51+,9
263,Telangana,Vegetarian,diabetic,medium,36-50,55
264,Maharashtra,Vegetarian,general,medium,36-50,9
265,Pan-Indian,Non-Vegetarian,weight_loss,medium,26-35,30
266,Gujarat,Non-Vegetarian,general,hot,51+,58
267,Uttar Pradesh,Vegan,weight_loss,medium,26-35,6
268,Telangana,Vegetarian,weight_loss,medium,36-50,21
269,Karnataka,Non-Vegetarian,diabetic,mild,18-25,9
270,Pan-Indian,Vegan,general,mild,26-35,27
271,West Bengal,Vegetarian,general,medium,26-35,44
272,Punjab,Non-Vegetarian,general,medium,18-25,56
273,Pan-Indian,Non-Vegetarian,general,medium,26-35,32
274,West Bengal,Vegetarian,diabetic,hot,26-35,12
275,Punjab,Vegan,general,mild,36-50,26
276,Tamil Nadu,Non-Vegetarian,general,hot,51+,107
277,Bihar,Non-Vegetarian,diabetic,medium,36-50,38
278,South India,Vegetarian,heart_lowsodium,hot,36-50,80
279,Kerala,Vegan,heart_lowsodium,medium,18-25,36
280,Pan-Indian,Vegetarian,diabetic,mild,26-35,6
281,Karnataka,Vegetarian,general,mild,51+,12
282,Pan-Indian,Vegetarian,general,mild,36-50,26
283,South India,Eggetarian,diabetic,mild,36-50,8
284,West Bengal,Non-Vegetarian,heart_lowsodium,medium,18-25,25
285,Odisha,Non-Vegetarian,diabetic,medium,36-50,5
286,Kerala,Non-Vegetarian,heart_lowsodium,hot,26-35,14
287,Goa,Non-Vegetarian,heart_lowsodium,hot,26-35,24
288,West Bengal,Non-Vegetarian,heart_lowsodium,hot,26-35,5
289,Karnataka,Vegetarian,heart_lowsodium,hot,36-50,23
290,North India,Non-Vegetarian,general,hot,36-50,30
291,Gujarat,Vegetarian,general,mild,18-25,31
292,Tamil Nadu,Eggetarian,general,medium,18-25,5
293,Pan-Indian,Eggetarian,heart_lowsodium,hot,36-50,5
294,Himachal Pradesh,Vegetarian,heart_lowsodium,hot,36-50,36
295,Maharashtra,Non-Vegetarian,general,mild,26-35,36
296,Maharashtra,Vegetarian,general,medium,18-25,7
297,Telangana,Vegetarian,general,hot,36-50,6
298,Pan-Indian,Vegetarian,weight_loss,hot,26-35,32
299,Bihar,Non-Vegetarian,general,mild,26-35,5
300,North India,Vegetarian,diabetic,mild,18-25,26
301,Pan-Indian,Vegan,general,medium,18-25,5
302,Tamil Nadu,Vegan,diabetic,medium,36-50,5
303,Pan-Indian,Non-Vegetarian,heart_lowsodium,medium,18-25,17
304,Mughlai (North India),Eggetarian,general,hot,26-35,25
305,Mughlai (North India),Non-Vegetarian,general,hot,51+,26
306,Pan-Indian,Vegetarian,general,hot,26-35,17
307,Kerala,Vegetarian,general,mild,36-50,8
308,Sindhi (community),Vegetarian,heart_lowsodium,medium,26-35,8
309,Punjab,Non-Vegetarian,general,mild,18-25,18
310,South India,Vegan,general,medium,36-50,25
311,Maharashtra,Vegan,weight_loss,medium,36-50,8
312,Karnataka,Non-Vegetarian,general,hot,18-25,9
313,Kerala,Vegetarian,general,medium,36-50,10
314,Pan-Indian,Non-Vegetarian,general,hot,51+,16
315,West Bengal,Non-Vegetarian,diabetic,medium,51+,7
316,Karnataka,Vegan,general,hot,18-25,15
317,West Bengal,Vegan,general,hot,51+,18
318,Tamil Nadu,Non-Vegetarian,general,hot,36-50,22
319,Pan-Indian,Vegan,diabetic,mild,51+,21
320,North India,Eggetarian,general,mild,18-25,6
321,Pan-Indian,Vegan,heart_lowsodium,hot,26-35,16
322,Kerala,Non-Vegetarian,general,mild,51+,21
323,Uttar Pradesh,Vegetarian,weight_loss,medium,18-25,9
324,Karnataka,Vegetarian,diabetic,hot,26-35,11
325,North India,Vegetarian,diabetic,medium,26-35,43
326,Pan-Indian,Vegetarian,general,mild,36-50,5
327,Kerala,Eggetarian,diabetic,medium,26-35,76
328,Rajasthan,Non-Vegetarian,general,hot,26-35,37
329,Andhra Pradesh,Vegetarian,heart_lowsodium,hot,36-50,12
330,Sindhi (community),Non-Vegetarian,general,hot,18-25,51
331,Gujarat,Vegetarian,heart_lowsodium,medium,26-35,7
332,Punjab,Vegan,heart_lowsodium,hot,51+,22
333,Kerala,Vegetarian,diabetic,medium,36-50,5
334,Gujarat,Vegetarian,general,hot,18-25,49
335,Kerala,Vegetarian,general,medium,18-25,9
336,Pan-Indian,Non-Vegetarian,diabetic,medium,18-25,29
337,Punjab,Vegan,general,medium,18-25,18
338,Tamil Nadu,Non-Vegetarian,general,medium,18-25,11
339,Pan-Indian,Non-Vegetarian,general,hot,26-35,10
340,Kerala,Vegetarian,general,hot,36-50,101
341,Andhra Pradesh,Non-Vegetarian,general,hot,26-35,9
342,South India,Non-Vegetarian,general,mild,36-50,22
343,Kerala,Vegetarian,weight_loss,medium,18-25,25
344,Rajasthan,Vegetarian,general,hot,36-50,36
345,Maharashtra,Vegetarian,heart_lowsodium,hot,18-25,35
346,Pan-Indian,Vegetarian,heart_lowsodium,hot,26-35,7
347,Pan-Indian,Eggetarian,general,hot,36-50,15
348,South India,Non-Vegetarian,general,hot,18-25,25
349,Maharashtra,Non-Vegetarian,general,hot,26-35,19
350,Karnataka,Non-Vegetarian,general,hot,26-35,9
351,Tamil Nadu,Non-Vegetarian,general,hot,36-50,11
352,Gujarat,Vegetarian,general,medium,26-35,15
353,Pan-Indian,Vegetarian,general,medium,26-35,6
354,Karnataka,Vegetarian,general,mild,26-35,15
355,Pan-Indian,Vegetarian,general,medium,18-25,24
356,Tamil Nadu,Non-Vegetarian,heart_lowsodium,medium,51+,23
357,Sindhi (community),Vegetarian,heart_lowsodium,medium,18-25,22
358,Tamil Nadu,Non-Vegetarian,heart_lowsodium,medium,18-25,8
359,Karnataka,Non-Vegetarian,general,medium,36-50,5
360,Rajasthan,Eggetarian,general,mild,36-50,20
361,Manipur,Vegetarian,heart_lowsodium,hot,26-35,9
362,Uttar Pradesh,Non-Vegetarian,general,hot,51+,20
363,Punjab,Non-Vegetarian,general,mild,36-50,49
364,North India,Eggetarian,weight_loss,mild,26-35,17
365,Kerala,Vegetarian,general,medium,18-25,13
366,Pan-Indian,Non-Vegetarian,general,hot,26-35,9
367,Maharashtra,Vegetarian,general,hot,18-25,7
368,North India,Non-Vegetarian,general,medium,36-50,39
369,Pan-Indian,Non-Vegetarian,general,hot,36-50,5
370,Tamil Nadu,Vegetarian,diabetic,medium,36-50,13
371,Bihar,Vegan,general,hot,36-50,37
372,Pan-Indian,Non-Vegetarian,heart_lowsodium,hot,36-50,7
373,Pan-Indian,Non-Vegetarian,general,medium,51+,14
374,Pan-Indian,Vegan,heart_lowsodium,hot,26-35,12
375,Telangana,Vegetarian,general,medium,18-25,23
376,Mughlai (North India),Non-Vegetarian,diabetic,medium,36-50,44
377,West Bengal,Vegan,general,hot,51+,11
378,South India,Eggetarian,general,hot,51+,7
379,Manipur,Non-Vegetarian,general,mild,36-50,9
380,North India,Vegan,general,hot,18-25,65
381,Tamil Nadu,Non-Vegetarian,heart_lowsodium,medium,26-35,66
382,Punjab,Vegan,weight_loss,medium,51+,21
383,Parsi (community),Vegetarian,weight_loss,hot,26-35,24
384,Gujarat,Vegan,general,medium,26-35,9
385,Pan-Indian,Eggetarian,diabetic,mild,18-25,32
386,East India,Non-Vegetarian,diabetic,medium,18-25,12
387,Punjab,Vegetarian,general,hot,26-35,8
388,Pan-Indian,Vegetarian,general,hot,26-35,18
389,Mughlai (North India),Vegan,general,hot,26-35,12
390,North India,Non-Vegetarian,diabetic,mild,26-35,18
391,West Bengal,Vegan,general,medium,18-25,15
392,Karnataka,Eggetarian,heart_lowsodium,mild,36-50,19
393,Pan-Indian,Non-Vegetarian,heart_lowsodium,mild,36-50,16
394,Maharashtra,Vegan,diabetic,medium,36-50,61
395,Kerala,Non-Vegetarian,general,medium,26-35,26
396,Gujarat,Vegetarian,diabetic,medium,26-35,12
397,Andhra Pradesh,Vegan,general,hot,36-50,22
398,Rajasthan,Non-Vegetarian,general,hot,36-50,10
399,Goa,Vegan,general,hot,36-50,15
400,Tamil Nadu,Vegetarian,general,mild,51+,7
401,Pan-Indian,Vegetarian,general,medium,26-35,7
402,Mughlai (North India),Non-Vegetarian,general,mild,18-25,17
403,Karnataka,Vegetarian,general,mild,51+,5
404,Pan-Indian,Non-Vegetarian,diabetic,mild,18-25,17
405,Pan-Indian,Vegetarian,weight_loss,medium,18-25,11
406,Andhra Pradesh,Eggetarian,weight_loss,mild,36-50,16
407,Tamil Nadu,Non-Vegetarian,general,medium,51+,26
408,Pan-Indian,Eggetarian,general,hot,51+,32
409,Punjab,Eggetarian,weight_loss,hot,18-25,20
410,Tamil Nadu,Vegan,general,medium,36-50,8
411,Assam,Non-Vegetarian,general,mild,36-50,24
412,Pan-Indian,Vegetarian,general,mild,26-35,45
413,Rajasthan,Eggetarian,general,medium,26-35,19
414,Maharashtra,Non-Vegetarian,general,medium,26-35,5
415,Pan-Indian,Non-Vegetarian,general,hot,51+,6
416,Jammu & Kashmir,Non-Vegetarian,general,hot,18-25,19
417,North India,Non-Vegetarian,heart_lowsodium,medium,36-50,12
418,Pan-Indian,Eggetarian,general,medium,36-50,83
419,Kerala,Vegetarian,general,mild,26-35,10
420,South India,Vegan,general,medium,51+,13
421,Pan-Indian,Vegetarian,general,hot,18-25,23
422,Maharashtra,Non-Vegetarian,general,medium,26-35,5
423,Tamil Nadu,Non-Vegetarian,heart_lowsodium,medium,36-50,29
424,Pan-Indian,Non-Vegetarian,weight_loss,medium,26-35,12
425,Goa,Vegan,heart_lowsodium,hot,26-35,5
426,Mughlai (North India),Vegetarian,diabetic,medium,26-35,11
427,Uttar Pradesh,Eggetarian,heart_lowsodium,hot,18-25,36
428,North India,Eggetarian,diabetic,mild,18-25,18
429,Gujarat,Eggetarian,general,mild,18-25,5
430,Punjab,Non-Vegetarian,general,medium,51+,21
431,Karnataka,Vegan,general,medium,18-25,12
432,Punjab,Non-Vegetarian,heart_lowsodium,medium,26-35,18
433,Mughlai (North India),Non-Vegetarian,heart_lowsodium,hot,36-50,6
434,Pan-Indian,Vegetarian,general,medium,18-25,32
435,Mughlai (North India),Non-Vegetarian,diabetic,hot,26-35,31
436,Maharashtra,Vegan,general,mild,51+,17
437,Pan-Indian,Non-Vegetarian,diabetic,hot,51+,15
438,Pan-Indian,Non-Vegetarian,general,hot,51+,35
439,Punjab,Eggetarian,general,hot,51+,22
440,Pan-Indian,Vegetarian,heart_lowsodium,hot,36-50,12
441,Tamil Nadu,Vegetarian,weight_loss,mild,36-50,13
442,Pan-Indian,Non-Vegetarian,diabetic,hot,51+,21
443,South India,Non-Vegetarian,general,mild,18-25,60
444,Parsi (community),Vegetarian,general,hot,36-50,11
445,Punjab,Vegan,general,medium,36-50,11
446,South India,Non-Vegetarian,general,hot,36-50,27
447,North India,Non-Vegetarian,general,hot,18-25,10
448,South India,Vegetarian,general,medium,36-50,7
449,Punjab,Non-Vegetarian,general,medium,18-25,7
450,Gujarat,Vegan,weight_loss,medium,26-35,44
451,Punjab,Non-Vegetarian,general,medium,26-35,8
452,Goa,Non-Vegetarian,general,medium,51+,13
453,South India,Non-Vegetarian,diabetic,mild,18-25,5
454,North India,Vegetarian,general,medium,36-50,14
455,North India,Non-Vegetarian,heart_lowsodium,medium,26-35,11
456,Uttar Pradesh,Vegan,general,medium,36-50,13
457,Kerala,Vegetarian,general,medium,18-25,11
458,South India,Vegetarian,diabetic,medium,18-25,15
459,Pan-Indian,Vegetarian,weight_loss,medium,51+,13
460,Pan-Indian,Eggetarian,heart_lowsodium,medium,18-25,13
461,Telangana,Non-Vegetarian,general,medium,51+,9
462,Pan-Indian,Vegetarian,general,medium,26-35,9
463,Punjab,Vegetarian,diabetic,hot,51+,28
464,Sindhi (community),Non-Vegetarian,heart_lowsodium,mild,26-35,14
465,Mughlai (North India),Non-Vegetarian,heart_lowsodium,hot,51+,36
466,Pan-Indian,Vegetarian,general,medium,18-25,11
467,Pan-Indian,Vegan,general,hot,18-25,10
468,Pan-Indian,Non-Vegetarian,general,hot,26-35,33
469,Mughlai (North India),Non-Vegetarian,heart_lowsodium,medium,18-25,13
470,Pan-Indian,Vegetarian,weight_loss,hot,18-25,12
471,Mughlai (North India),Non-Vegetarian,general,hot,51+,11
472,West Bengal,Non-Vegetarian,general,mild,18-25,43
473,Gujarat,Vegan,diabetic,mild,36-50,16
474,Gujarat,Vegetarian,general,medium,36-50,24
475,Pan-Indian,Non-Vegetarian,general,hot,26-35,34
